1949.08333333333,6
1949.16666666667,14
1949.25,-3
1949.33333333333,-8
1949.41666666667,14
1949.5,13
1949.58333333333,0
1949.66666666667,-12
1949.75,-17
1949.83333333333,-15
1949.91666666667,14
1950,-3
1950.08333333333,11
1950.16666666667,15
1950.25,-6
1950.33333333333,-10
1950.41666666667,24
1950.5,21
1950.58333333333,0
1950.66666666667,-12
1950.75,-25
1950.83333333333,-19
1950.91666666667,26
1951,5
1951.08333333333,5
1951.16666666667,28
1951.25,-15
1951.33333333333,9
1951.41666666667,6
1951.5,21
1951.58333333333,0
1951.66666666667,-15
1951.75,-22
1951.83333333333,-16
1951.91666666667,20
1952,5
1952.08333333333,9
1952.16666666667,13
1952.25,-12
1952.33333333333,2
1952.41666666667,35
1952.5,12
1952.58333333333,12
1952.66666666667,-33
1952.75,-18
1952.83333333333,-19
1952.91666666667,22
1953,2
1953.08333333333,0
1953.16666666667,40
1953.25,-1
1953.33333333333,-6
1953.41666666667,14
1953.5,21
1953.58333333333,8
1953.66666666667,-35
1953.75,-26
1953.83333333333,-31
1953.91666666667,21
1954,3
1954.08333333333,-16
1954.16666666667,47
1954.25,-8
1954.33333333333,7
1954.41666666667,30
1954.5,38
1954.58333333333,-9
1954.66666666667,-34
1954.75,-30
1954.83333333333,-26
1954.91666666667,26
1955,13
1955.08333333334,-9
1955.16666666667,34
1955.25,2
1955.33333333334,1
1955.41666666667,45
1955.5,49
1955.58333333334,-17
1955.66666666667,-35
1955.75,-38
1955.83333333334,-37
1955.91666666667,41
1956,6
1956.08333333334,-7
1956.16666666667,40
1956.25,-4
1956.33333333334,5
1956.41666666667,56
1956.5,39
1956.58333333334,-8
1956.66666666667,-50
1956.75,-49
1956.83333333334,-35
1956.91666666667,35
1957,9
1957.08333333334,-14
1957.16666666667,55
1957.25,-8
1957.33333333334,7
1957.41666666667,67
1957.5,43
1957.58333333334,2
1957.66666666667,-63
1957.75,-57
1957.83333333334,-42
1957.91666666667,31
1958,4
1958.08333333334,-22
1958.16666666667,44
1958.25,-14
1958.33333333334,15
1958.41666666667,72
1958.5,56
1958.58333333334,14
1958.66666666667,-101
1958.75,-45
1958.83333333334,-49
1958.91666666667,27
1959,23
1959.08333333334,-18
1959.16666666667,64
1959.25,-10
1959.33333333334,24
1959.41666666667,52
1959.5,76
1959.58333333334,11
1959.66666666667,-96
1959.75,-56
1959.83333333334,-45
1959.91666666667,43
1960,12
1960.08333333334,-26
1960.16666666667,28
1960.25,42
1960.33333333334,11
1960.41666666667,63
1960.5,87
1960.58333333334,-16
1960.66666666667,-98
1960.75,-47
1960.83333333334,-71
1960.91666666667,42
